hip_flex,hip_abd,hip_rot,knee_flex,ankle_flex,ankle_sub,watts,rpm,mass,grf_x,grf_y,grf_z,hip_flex_moment,hip_abd_moment,hip_rot_moment,knee_flex_moment,ankle_flex_moment,subtalar_moment
0.554722223,-0.110832356,0.030315277,0.690519388,-0.122923869,-0.012730064,0.600735294,0.9,0.843137255,110.1572852,161.3868805,23.53653626,-73.74267467,17.88683807,-14.7860709,-12.78944754,-19.13485093,8.91923988
0.544114647,-0.112180622,0.026409844,0.675752265,-0.119164448,-0.014506288,0.600735294,0.9,0.843137255,110.9639444,179.7201929,24.24457782,-80.22829996,18.96642723,-13.85022514,-16.27640399,-21.49464602,9.378525448
0.533178837,-0.113487801,0.022399365,0.661138238,-0.115632098,-0.015986802,0.600735294,0.9,0.843137255,110.9126095,198.3384801,24.66366928,-86.81687925,19.69562131,-12.63176107,-19.86201912,-23.87050005,9.75793096
0.521764592,-0.114795985,0.018440438,0.646712131,-0.112350093,-0.017134387,0.600735294,0.9,0.843137255,110.0708984,216.9125003,24.82910306,-93.07795893,20.05636771,-11.19112246,-23.37948754,-26.15718526,10.05013081
0.509784612,-0.116096258,0.014341086,0.632293259,-0.109320761,-0.018175838,0.600735294,0.9,0.843137255,108.4879,235.0643675,24.7768742,-98.98467806,20.05384658,-9.584529856,-26.82073904,-28.33600859,10.26760599
0.497176958,-0.117367546,0.009837314,0.617657997,-0.106546163,-0.019391764,0.600735294,0.9,0.843137255,106.1885679,252.365754,24.53282094,-104.6084673,19.69792643,-7.865824024,-30.21735816,-30.40898291,10.42713845
0.48410122,-0.118602401,0.00501313,0.602834243,-0.104142577,-0.020782351,0.600735294,0.9,0.843137255,103.1755284,268.3661243,24.10168624,-109.9608055,18.97271899,-6.058394162,-33.6002615,-32.3567837,10.53054341
0.470938521,-0.119806996,0.000300536,0.588101423,-0.102340496,-0.022067365,0.600735294,0.9,0.843137255,99.46828704,282.6043302,23.48315686,-114.9932201,17.83657924,-4.15517791,-36.99969777,-34.13874904,10.56466942
0.457976384,-0.120957184,-0.004001313,0.573688464,-0.10131883,-0.023052127,0.600735294,0.9,0.843137255,95.10673797,294.6371419,22.67107119,-119.5842217,16.2701751,-2.166810674,-40.40147536,-35.70578027,10.51877861
0.445089413,-0.121905157,-0.008185176,0.559578554,-0.101030279,-0.023932931,0.600735294,0.9,0.843137255,90.21500257,304.1358417,21.68004207,-123.3306807,14.34790577,-0.180014849,-43.61375759,-36.97874255,10.3943904
0.432070348,-0.122487575,-0.012654669,0.545698699,-0.101379453,-0.024983152,0.600735294,0.9,0.843137255,84.97046706,310.9069784,20.52918417,-125.7742879,12.16645943,1.701783027,-46.40662254,-37.87406307,10.19620433
0.419203266,-0.122894883,-0.016959607,0.532096677,-0.102465654,-0.026000775,0.600735294,0.9,0.843137255,79.5693666,314.9215143,19.24682607,-126.8070315,9.796216926,3.428461319,-48.69564705,-38.3788036,9.931582766
0.407263588,-0.123671309,-0.019796006,0.518941031,-0.10458287,-0.026308408,0.600735294,0.9,0.843137255,74.18043176,316.2947802,17.85592565,-126.6711981,7.28125172,5.0032033,-50.54190671,-38.55066049,9.61055091
0.396623543,-0.125127306,-0.020545316,0.50633714,-0.10783928,-0.025552803,0.600735294,0.9,0.843137255,68.91719582,315.2743088,16.37457885,-125.590805,4.664763376,6.430682005,-52.003519,-38.44324302,9.241254037
0.385957157,-0.126576682,-0.021479235,0.494116715,-0.111565973,-0.024759986,0.600735294,0.9,0.843137255,63.8317304,312.1904464,14.818613,-123.655874,1.991031031,7.712259094,-53.10146485,-38.08152779,8.823854579
0.373605659,-0.12712922,-0.025443689,0.482063996,-0.114929786,-0.025236942,0.600735294,0.9,0.843137255,58.94764385,307.4631028,13.2079288,-120.9276356,-0.693340896,8.847970894,-53.84846821,-37.48485258,8.357219265
0.360020706,-0.126932788,-0.031873047,0.47044509,-0.117788114,-0.026821879,0.600735294,0.9,0.843137255,54.28870708,301.5443605,11.56685996,-117.5756099,-3.294474018,9.826411474,-54.28087772,-36.70749904,7.85631506
0.347764384,-0.12717334,-0.036790119,0.460007968,-0.120688907,-0.027884228,0.600735294,0.9,0.843137255,49.87165419,294.910715,9.921085086,-113.8776062,-5.67121598,10.62473264,-54.45866672,-35.83869279,7.35220916
